--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
35,Jonas Valančiūnas,87.6,TOR,1,5,2011,,2012-13,2025-26,20-33,1002,854,0,87.6,119,107,53.2,34.4,.172,1.2,-0.2,0.9,18.2,20.6,12.2,29.1,20.7,9.1,0.8,3.2,13.3,21.5,C,DENMEMNOPSACTORWAS,valanjo01
36,David West,85.8,NOH,1,18,2003,Xavier,2003-04,2017-18,23-37,1034,742,2,85.8,109,104,44.6,41.3,.141,1.1,0.6,1.7,27.6,18.6,7.1,19.0,13.1,13.6,1.4,2.3,11.4,23.1,F-C,GSWINDNOHNOKSAS,westda01
37,Marc Gasol,85.3,LAL,2,48,2007,,2008-09,2020-21,24-36,891,866,3,85.3,111,104,42.9,42.4,.143,1.3,1.8,3.1,36.5,18.0,5.7,21.2,13.3,17.1,1.4,3.7,13.5,20.5,C,LALMEMTOR,gasolma01
38,Nikola Vučević,84.3,PHI,1,16,2011,Southern California,2011-12,2025-26,21-35,1036,957,2,84.3,111,108,41.4,42.9,.125,1.9,0.2,2.1,33.2,20.0,8.7,27.9,18.2,15.8,1.3,2.3,9.8,24.2,C,BOSCHIORLPHI,vucevni01
39,Richard Jefferson,83.0,HOU,1,13,2001,Arizona,2001-02,2017-18,21-37,1181,809,0,83.0,110,107,49.7,33.3,.116,0.4,-0.1,0.2,19.4,14.4,3.1,12.9,8.0,12.0,1.2,0.8,11.9,19.9,F,CLEDALDENGSWMILNJNSASUTA,jefferi01
40,Joe Johnson,82.9,BOS,1,10,2001,Arkansas,2001-02,2021-22,20-40,1277,1091,7,82.9,107,110,56.5,26.3,.090,1.5,-1.1,0.4,26.5,15.4,2.8,10.4,6.6,19.6,1.3,0.4,11.3,22.5,G-F,ATLBOSBRKHOUMIAPHOUTA,johnsjo02
41,Blake Griffin,81.1,LAC,1,1,2009,Oklahoma,2010-11,2022-23,21-33,765,692,6,81.1,112,107,53.0,28.2,.160,3.1,0.2,3.3,32.8,21.0,7.0,21.3,14.2,21.6,1.3,1.2,11.8,26.8,F-C,BOSBRKDETLAC,griffbl01
42,Zach Randolph,81.1,POR,1,19,2001,Michigan State,2001-02,2017-18,20-36,1116,883,2,81.1,106,106,44.2,36.9,.112,1.5,-1.4,0.2,18.8,19.3,11.0,23.8,17.3,10.9,1.3,0.7,11.4,26.6,F-C,LACMEMNYKPORSAC,randoza01
43,Tobias Harris,80.6,CHA,1,19,2011,Tennessee,2011-12,2025-26,19-33,1033,913,0,80.6,113,110,45.4,35.2,.119,1.1,-0.1,1.0,24.3,16.4,3.5,18.0,10.8,11.8,1.3,1.5,8.9,21.4,F,DETLACMILORLPHI,harrito02
44,Carlos Boozer,80.3,CLE,2,35,2002,Duke,2002-03,2014-15,21-33,861,775,2,80.3,108,102,40.6,39.7,.143,1.3,0.1,1.4,23.1,19.5,8.8,26.6,17.7,13.2,1.5,1.0,12.6,24.3,F-C,CHICLELALUTA,boozeca01
45,Andre Drummond,80.0,DET,1,9,2012,Connecticut,2012-13,2025-26,19-32,967,688,2,80.0,110,102,30.8,49.3,.151,0.5,0.4,1.0,18.9,21.4,16.8,33.6,25.0,7.5,2.3,4.0,13.5,21.4,C,BRKCHICLEDETLALPHI,drumman01
46,Jrue Holiday,78.1,PHI,1,17,2009,UCLA,2009-10,2025-26,19-35,1090,1007,2,78.1,109,110,40.9,37.2,.105,1.5,0.2,1.6,32.7,17.0,3.3,10.6,7.0,29.4,2.1,1.3,15.1,22.7,G,BOSMILNOPPHIPOR,holidjr01
47,Deron Williams,77.3,UTA,1,3,2005,Illinois,2005-06,2016-17,21-32,845,771,3,77.3,112,110,58.4,18.9,.129,2.9,-1.0,1.9,28.3,18.2,1.4,9.3,5.4,39.5,1.6,0.6,16.1,23.5,G,BRKCLEDALNJNUTA,willide01
48,David Lee,76.0,NYK,1,30,2005,Florida,2005-06,2016-17,22-33,829,505,2,76.0,114,106,49.6,26.4,.150,1.3,-0.2,1.1,19.2,19.1,9.9,24.0,17.0,12.6,1.3,1.0,13.0,20.6,F-C,BOSDALGSWNYKSAS,leeda02
49,Shane Battier,75.7,MEM,1,6,2001,Duke,2001-02,2013-14,23-35,977,705,0,75.7,115,105,40.4,35.3,.121,0.4,1.3,1.7,28.2,12.6,5.0,10.8,7.9,8.8,1.7,2.3,10.4,12.9,F,HOUMEMMIA,battish01
50,Nicolas Batum,75.6,HOU,1,25,2008,,2008-09,2025-26,20-37,1205,877,0,75.6,112,109,40.2,35.5,.107,0.6,0.8,1.4,29.0,13.8,3.7,15.0,9.3,15.9,1.6,1.7,14.3,15.7,F-G,CHOLACPHIPOR,batumni01
