--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
711,Matas Buzelis,4.4,CHI,1,11,2024,,2024-25,2025-26,20-21,157,108,0,6.7,14.5,4.1,7.2,2.6,7.3,2.6,3.3,1.3,5.7,7.0,2.3,0.8,1.8,2.2,2.9,18.6,.460,.567,.353,.795,.581,.548,F,CHI,buzelma01
712,Shane Larkin,4.4,ATL,1,18,2013,Miami (FL),2013-14,2017-18,21-25,256,41,0,4.0,9.5,3.2,6.9,0.9,2.6,1.4,1.8,0.6,3.0,3.6,5.4,1.8,0.2,2.2,2.8,10.3,.422,.454,.336,.777,.500,.468,G,BOSBRKDALNYK,larkish01
713,Terrance Ferguson,4.4,OKC,1,21,2017,,2017-18,2020-21,19-22,204,124,0,3.0,7.4,1.3,2.2,1.8,5.2,0.5,0.7,0.7,1.7,2.4,1.3,0.8,0.4,0.8,4.3,8.3,.404,.570,.334,.753,.536,.522,G-F,OKCPHI,fergute01
714,VJ Edgecombe,4.4,PHI,1,3,2025,Baylor,2025-26,2025-26,20,75,75,0,6.2,14.1,4.1,8.4,2.0,5.8,2.0,2.5,1.7,4.1,5.8,4.3,1.5,0.5,1.9,2.9,16.5,.438,.496,.354,.818,.540,.510,G-F,PHI,edgecvj01
715,Patrick McCaw,4.4,MIL,2,38,2016,UNLV,2016-17,2020-21,21-25,199,43,0,3.1,7.4,2.1,4.2,1.0,3.2,0.9,1.1,0.7,2.7,3.4,2.9,1.5,0.3,1.3,2.5,8.1,.420,.508,.305,.785,.511,.486,G,CLEGSWTOR,mccawpa01
716,Jordan Walsh,4.3,SAC,2,38,2023,Arkansas,2023-24,2025-26,19-21,129,27,0,3.6,7.7,2.3,3.7,1.4,4.0,1.1,1.5,2.4,5.3,7.7,1.7,1.4,0.9,1.2,3.8,9.8,.471,.608,.344,.732,.582,.560,G-F,BOS,walshjo01
717,Sergio Rodríguez,4.3,PHO,1,27,2006,,2006-07,2016-17,20-30,353,52,0,4.6,11.3,3.2,7.2,1.4,4.1,1.3,1.8,0.8,2.8,3.6,8.1,1.4,0.1,3.3,3.0,11.9,.409,.451,.337,.739,.495,.471,G,NYKPHIPORSAC,rodrise01
718,Ben Sheppard,4.3,IND,1,26,2023,Belmont,2023-24,2025-26,22-24,185,30,0,4.0,9.5,1.9,3.3,2.1,6.2,0.9,1.1,1.1,3.8,4.8,2.6,1.2,0.2,0.8,3.4,10.9,.419,.560,.342,.827,.550,.530,G,IND,sheppbe01
719,Isaiah Canaan,4.3,HOU,2,34,2013,Murray State,2013-14,2018-19,22-27,235,77,0,4.6,12.5,1.9,4.6,2.7,7.8,2.4,2.8,0.5,2.8,3.3,3.4,1.1,0.2,1.9,2.7,14.4,.371,.404,.351,.836,.524,.481,G,CHIHOUMILMINPHIPHO,canaais01
720,James Wiseman,4.3,GSW,1,2,2020,Memphis,2020-21,2025-26,19-24,152,56,0,7.2,12.9,7.0,12.2,0.2,0.8,2.5,3.6,3.1,7.5,10.6,1.4,0.4,1.3,2.3,4.8,17.2,.560,.579,.262,.682,.591,.568,C,DETGSWIND,wisemja01
721,Karlo Matković,4.3,NOH,2,52,2022,,2024-25,2025-26,23-24,104,9,0,5.9,9.9,4.6,6.6,1.2,3.3,1.4,1.8,2.9,6.4,9.3,2.0,1.0,2.0,1.6,4.5,14.3,.589,.694,.378,.753,.667,.652,F-C,NOP,matkoka01
722,Wes Iwundu,4.2,ORL,2,33,2017,Kansas State,2017-18,2021-22,23-27,226,51,0,3.2,7.9,2.5,5.6,0.7,2.4,2.1,2.7,1.1,4.1,5.2,2.0,1.0,0.5,1.1,3.2,9.3,.408,.458,.292,.798,.510,.452,F,ATLDALNOPORL,iwundwe01
723,Dylan Harper,4.2,SAS,1,2,2025,Rutgers,2025-26,2025-26,19,69,4,0,7.6,15.2,6.2,11.0,1.4,4.1,2.1,2.7,1.2,4.2,5.4,6.1,1.2,0.6,2.3,3.2,18.8,.505,.565,.343,.756,.574,.551,G,SAS,harpedy01
724,Caleb Houstan,4.2,ORL,2,32,2022,Michigan,2022-23,2025-26,20-23,186,23,0,3.5,8.7,0.7,1.4,2.8,7.4,0.8,0.9,1.2,2.6,3.9,1.4,0.7,0.3,0.7,2.8,10.5,.397,.500,.378,.844,.575,.557,G-F,ATLORL,houstca01
725,Dominic McGuire,4.1,WAS,2,47,2007,Fresno State,2007-08,2012-13,22-27,342,84,0,2.6,6.2,2.6,6.1,0.0,0.1,1.1,1.6,2.3,5.6,7.9,2.8,1.0,1.2,1.6,3.4,6.3,.419,.423,.188,.658,.454,.420,F,CHAGSWINDNOHSACTORWAS,mcguido01
726,Courtney Alexander,4.1,ORL,1,13,2000,Fresno State,2000-01,2002-03,23-25,187,59,0,5.8,13.7,5.4,12.7,0.4,1.1,3.0,3.7,1.1,2.5,3.6,2.0,1.0,0.2,1.8,3.3,15.0,.422,.429,.339,.813,.487,.435,G,DALNOHWAS,alexaco02
727,Mouhamed Gueye,4.1,CHA,2,39,2023,Washington State,2023-24,2025-26,21-23,116,36,0,4.3,9.8,3.0,5.3,1.3,4.4,1.6,2.2,2.9,5.9,8.8,2.0,1.9,1.5,1.0,3.9,11.4,.436,.557,.291,.700,.529,.502,F,ATL,gueyemo02
728,Zaccharie Risacher,4.1,ATL,1,1,2024,,2024-25,2025-26,19-20,142,119,0,6.5,14.1,4.1,7.7,2.3,6.5,1.8,2.6,1.7,4.0,5.6,1.8,1.2,0.8,1.6,3.2,17.0,.457,.539,.360,.686,.557,.540,F,ATL,risacza01
729,Isaiah Roby,4.0,DET,2,45,2019,Nebraska,2019-20,2022-23,21-24,151,64,0,5.5,11.4,4.4,8.1,1.2,3.4,2.3,3.5,2.3,6.1,8.4,2.7,1.3,1.0,2.4,4.1,14.6,.485,.541,.351,.675,.563,.536,F,OKCSAS,robyis01
730,Jan Veselý,4.0,WAS,1,6,2011,,2011-12,2013-14,21-23,162,25,0,3.9,7.4,3.9,7.4,0.0,0.0,0.9,2.3,3.3,4.9,8.2,1.4,1.6,1.2,1.8,5.6,8.7,.521,.523,.000,.408,.514,.521,F,DENWAS,veselja01
731,Josh Minott,4.0,CHA,2,45,2022,Memphis,2022-23,2025-26,20-23,142,11,0,5.7,11.5,3.4,5.6,2.3,5.9,2.4,2.8,1.9,4.9,6.9,2.1,1.9,1.3,1.6,3.5,16.1,.495,.599,.396,.833,.631,.597,F,BOSBRKMIN,minotjo01
732,Collin Murray-Boyles,4.0,TOR,1,9,2025,South Carolina,2025-26,2025-26,20,57,22,0,5.7,9.9,5.2,8.4,0.5,1.4,2.1,3.1,3.8,4.4,8.2,3.1,1.5,1.5,1.7,4.2,14.0,.579,.620,.340,.657,.621,.604,F,TOR,murraco01
733,Melvin Ely,4.0,LAC,1,12,2002,Fresno State,2002-03,2013-14,24-35,375,55,0,4.7,10.2,4.7,10.2,0.0,0.0,2.6,4.1,2.7,4.6,7.3,1.6,0.6,1.3,2.4,4.6,11.9,.460,.461,.000,.625,.497,.460,C,CHADENLACNOHNOPSAS,elyme01
734,Keyonte George,4.0,UTA,1,16,2023,Baylor,2023-24,2025-26,20-22,196,133,0,6.6,15.9,3.8,8.0,2.8,8.0,4.6,5.4,0.4,3.6,4.0,6.3,0.9,0.2,3.3,2.0,20.5,.413,.478,.348,.857,.561,.500,G,UTA,georgke01
735,Jordan Miller,4.0,LAC,2,48,2023,Miami (FL),2023-24,2025-26,24-26,105,1,0,5.6,11.0,4.6,8.0,1.0,3.0,3.4,4.3,1.5,3.4,5.0,3.5,1.3,0.3,1.8,1.8,15.5,.507,.582,.313,.783,.601,.551,G,LAC,millejo02
736,Nik Stauskas,3.9,SAC,1,8,2014,Michigan,2014-15,2021-22,21-28,343,63,0,4.1,10.6,2.0,4.6,2.1,6.1,1.9,2.3,0.4,3.3,3.7,2.8,0.7,0.4,1.8,2.3,12.3,.389,.435,.354,.812,.527,.490,G,BOSBRKCLEMIAPHIPORSAC,stausni01
737,Hilton Armstrong,3.9,NOH,1,12,2006,Connecticut,2006-07,2013-14,22-29,292,40,0,3.7,7.4,3.7,7.3,0.0,0.1,2.0,3.4,3.1,5.1,8.2,1.1,1.0,1.5,2.5,5.8,9.4,.501,.503,.286,.582,.529,.502,F-C,ATLGSWHOUNOHNOKSACWAS,armsthi01
738,Julian Wright,3.9,NOH,1,13,2007,Kansas,2007-08,2010-11,20-23,231,40,0,4.7,9.4,4.5,8.7,0.2,0.7,1.1,2.0,2.2,4.1,6.3,2.1,1.6,0.8,1.9,2.1,10.7,.499,.519,.262,.584,.522,.509,F,NOHTOR,wrighju01
739,Olivier-Maxence Prosper,3.8,SAC,1,24,2023,Marquette,2023-24,2025-26,21-23,145,29,0,5.7,11.9,4.1,7.3,1.6,4.6,3.1,4.4,2.4,5.0,7.4,2.1,1.4,0.4,1.3,2.5,16.1,.481,.565,.348,.706,.584,.549,F,DALMEM,prospol01
740,Cooper Flagg,3.8,DAL,1,1,2025,Duke,2025-26,2025-26,19,70,70,0,8.6,18.3,7.5,14.6,1.1,3.7,4.3,5.3,1.3,5.8,7.2,4.9,1.3,1.0,2.5,2.2,22.6,.468,.513,.295,.827,.548,.498,F-G,DAL,flaggco01
741,Andrew Nicholson,3.8,ORL,1,19,2012,St. Bonaventure,2012-13,2016-17,23-27,285,36,0,6.2,13.4,5.5,11.0,0.8,2.4,1.7,2.3,1.7,5.9,7.6,1.1,0.7,0.8,1.9,4.0,15.0,.467,.498,.321,.773,.522,.495,F,BRKORLWAS,nichoan01
742,D.J. White,3.8,DET,1,29,2008,Indiana,2008-09,2013-14,22-27,138,11,0,5.9,11.7,5.9,11.7,0.0,0.1,1.9,2.7,2.0,5.5,7.5,1.4,0.7,1.0,1.1,3.4,13.8,.507,.507,.333,.720,.536,.507,F,BOSCHAOKC,whitedj01
743,Bruno Fernando,3.8,PHI,2,34,2019,Maryland,2019-20,2024-25,21-26,220,21,0,5.4,10.0,5.3,9.2,0.1,0.8,2.5,3.9,3.6,7.4,11.0,2.5,0.9,1.6,2.5,5.6,13.5,.543,.578,.122,.653,.576,.548,F,ATLBOSHOUTOR,fernabr01
744,Jake Layman,3.8,ORL,2,47,2016,Maryland,2016-17,2021-22,22-27,243,49,0,5.3,11.6,3.8,6.5,1.5,5.1,1.5,2.1,1.2,3.7,4.8,1.5,1.2,0.8,1.4,3.0,13.6,.460,.585,.300,.719,.547,.526,F,MINPOR,laymaja01
745,Justin Hamilton,3.7,PHI,2,45,2012,Louisiana State,2013-14,2016-17,23-26,113,21,0,4.9,10.6,3.7,6.6,1.2,4.0,1.5,1.9,2.4,5.0,7.4,1.7,1.1,1.3,1.3,3.1,12.6,.464,.560,.309,.798,.552,.523,C,BRKCHAMIAMIN,hamilju01
746,Jon Brockman,3.7,POR,2,38,2009,Washington,2009-10,2011-12,22-24,150,10,0,2.7,5.5,2.7,5.5,0.0,0.0,1.9,3.1,4.9,6.0,10.8,1.1,0.8,0.2,1.3,6.1,7.3,.488,.490,.000,.618,.530,.488,F,MILSAC,brockjo01
747,Rashad McCants,3.6,MIN,1,14,2005,North Carolina,2005-06,2008-09,21-24,249,39,0,6.6,15.3,4.5,9.7,2.1,5.7,2.4,3.3,0.8,2.8,3.6,2.4,1.3,0.4,2.6,4.2,17.7,.431,.467,.368,.741,.528,.499,G,MINSAC,mccanra01
748,Ryan Dunn,3.6,DEN,1,28,2024,Virginia,2024-25,2025-26,22-23,144,60,0,4.8,10.9,3.0,5.3,1.8,5.6,0.5,1.1,2.5,4.9,7.3,2.1,1.4,0.9,1.2,3.8,12.0,.440,.569,.319,.488,.523,.522,F,PHO,dunnry01
749,Maxime Raynaud,3.6,SAC,2,42,2025,Stanford,2025-26,2025-26,22,74,56,0,7.0,12.3,6.6,10.9,0.4,1.4,2.4,3.1,2.6,7.6,10.2,1.8,0.7,0.7,1.7,3.1,16.9,.571,.601,.324,.786,.619,.589,F,SAC,raynama01
750,Marcus Sasser,3.6,MEM,1,25,2023,Houston,2023-24,2025-26,23-25,166,17,0,5.8,13.5,3.2,6.7,2.6,6.8,1.6,1.9,0.5,2.7,3.2,6.1,1.4,0.3,2.4,3.0,15.9,.431,.478,.386,.859,.554,.529,G,DET,sassema01
751,Kris Murray,3.6,POR,1,23,2023,Iowa,2023-24,2025-26,23-25,188,50,0,3.8,8.9,2.7,4.8,1.1,4.1,1.0,1.6,2.4,3.5,5.9,2.2,1.3,0.6,1.4,2.4,9.6,.425,.567,.259,.600,.499,.484,F,POR,murrakr01
752,Deyonta Davis,3.6,BOS,2,31,2016,Michigan State,2016-17,2018-19,20-22,107,6,0,5.5,9.3,5.5,9.2,0.0,0.0,1.5,2.4,2.9,6.7,9.6,1.3,0.6,1.7,1.2,4.9,12.6,.599,.601,.000,.635,.611,.599,C-F,ATLMEM,davisde01
753,Jamal Shead,3.5,SAC,2,45,2024,Houston,2024-25,2025-26,22-23,157,23,0,4.2,10.9,2.5,5.7,1.7,5.3,1.6,2.0,0.6,2.2,2.8,8.2,1.5,0.3,2.5,3.5,11.7,.386,.446,.322,.778,.495,.463,G,TOR,sheadja01
754,Quinten Post,3.5,GSW,2,52,2024,Boston College,2024-25,2025-26,24-25,109,49,0,6.2,13.9,2.9,5.0,3.2,8.9,1.1,1.4,2.0,6.1,8.1,2.9,0.8,1.0,1.7,4.1,16.6,.443,.584,.364,.786,.573,.560,F,GSW,postqu01
755,Ante Žižić,3.5,BOS,1,23,2016,,2017-18,2019-20,21-23,113,27,0,6.5,11.2,6.5,11.2,0.0,0.0,3.0,4.3,3.6,7.0,10.6,1.5,0.5,0.9,1.9,4.0,16.0,.581,.581,,.711,.614,.581,F-C,CLE,zizican01
756,Saben Lee,3.5,UTA,2,38,2020,Vanderbilt,2020-21,2023-24,21-24,134,8,0,4.4,10.4,3.7,8.0,0.6,2.4,3.5,4.7,1.1,3.7,4.8,7.0,1.7,0.5,2.3,3.1,12.9,.421,.465,.271,.734,.516,.452,G,DETPHIPHO,leesa01
757,MarShon Brooks,3.3,BOS,1,25,2011,Providence,2011-12,2018-19,23-30,200,50,0,6.4,14.3,5.3,11.0,1.1,3.3,2.7,3.6,1.4,3.0,4.4,2.9,1.2,0.4,2.6,2.8,16.6,.447,.478,.345,.751,.523,.487,G-F,BOSBRKGSWLALMEMNJN,brookma01
758,Cam Whitmore,3.3,HOU,1,20,2023,Villanova,2023-24,2025-26,19-21,119,5,0,8.2,18.1,5.4,10.1,2.8,8.0,2.7,3.8,1.7,5.1,6.8,1.7,1.3,0.7,1.9,2.3,21.8,.450,.531,.349,.712,.551,.527,F,HOUWAS,whitmca01
759,James Anderson,3.3,SAS,1,20,2010,Oklahoma State,2010-11,2015-16,21-26,247,83,0,4.4,10.6,2.7,5.5,1.6,5.1,1.5,1.9,0.9,3.8,4.7,2.4,1.0,0.5,1.8,2.4,11.8,.411,.495,.321,.755,.516,.488,G-F,HOUPHISACSAS,anderja01
760,Eric Maynor,3.3,UTA,1,20,2009,VCU,2009-10,2013-14,22-26,267,2,0,4.1,10.4,3.0,7.4,1.0,2.9,1.4,1.9,0.6,2.6,3.2,7.0,1.0,0.2,2.6,2.7,10.5,.392,.409,.350,.721,.470,.442,G,OKCPHIPORUTAWAS,maynoer01
761,Von Wafer,3.3,LAL,2,39,2005,Florida State,2005-06,2011-12,20-26,200,14,0,5.7,13.5,4.2,8.9,1.5,4.6,2.5,3.3,0.6,2.9,3.4,2.1,1.1,0.3,1.9,2.3,15.3,.420,.469,.325,.751,.512,.475,G,BOSDENHOULACLALORLPOR,wafervo01
762,Jaylen Clark,3.3,MIN,2,53,2023,UCLA,2024-25,2025-26,23-24,108,5,0,4.0,8.9,2.6,5.0,1.4,3.9,1.9,2.7,2.0,2.4,4.4,1.8,2.1,0.3,0.8,3.8,11.2,.445,.510,.362,.702,.556,.524,G,MIN,clarkja02
763,Cam Reddish,3.3,ATL,1,10,2019,Duke,2019-20,2024-25,20-25,254,116,0,4.5,11.4,2.8,6.2,1.7,5.3,2.4,2.9,0.9,3.3,4.2,1.8,1.6,0.6,1.7,2.7,13.2,.398,.463,.322,.821,.519,.472,F,ATLLALNYKPOR,reddica01
764,Vince Williams Jr.,3.2,MEM,2,47,2022,VCU,2022-23,2025-26,22-25,134,51,0,4.4,11.1,2.4,4.6,2.1,6.4,2.1,2.6,1.6,5.5,7.0,5.0,1.2,0.7,2.5,3.4,13.0,.400,.507,.322,.796,.532,.493,F,MEMUTA,willivi01
765,Edmond Sumner,3.2,NOH,2,52,2017,Xavier,2017-18,2022-23,22-27,161,41,0,5.7,12.1,4.3,8.0,1.4,4.1,3.2,3.9,0.8,3.1,3.9,2.9,1.5,0.5,2.1,3.9,15.9,.470,.535,.341,.811,.576,.527,G,BRKIND,sumneed01
766,Jarell Martin,3.2,MEM,1,25,2015,Louisiana State,2015-16,2018-19,21-24,184,40,0,4.6,10.7,3.8,8.4,0.8,2.2,2.3,2.9,2.3,5.5,7.9,1.4,0.8,0.9,1.8,5.1,12.3,.434,.457,.346,.766,.513,.470,F,MEMORL,martija01
767,Ivan Rabb,3.2,ORL,2,35,2017,California,2017-18,2018-19,20-21,85,18,0,5.9,10.6,5.8,10.2,0.1,0.4,2.3,3.1,3.6,7.0,10.6,2.5,0.8,0.8,2.0,4.2,14.1,.555,.570,.200,.743,.591,.559,F,MEM,rabbiv01
768,Jalen Wilson,3.2,NJN,2,51,2023,Kansas,2023-24,2025-26,23-25,176,27,0,4.4,10.9,2.4,5.0,2.0,6.0,2.5,3.1,1.4,3.8,5.2,2.4,0.7,0.1,1.4,3.0,13.2,.401,.474,.340,.788,.539,.494,F,BRK,wilsoja03
769,Joel Freeland,3.2,POR,1,30,2006,,2012-13,2014-15,25-27,151,9,0,4.1,9.0,4.1,9.0,0.0,0.0,1.2,1.6,3.8,6.5,10.2,1.3,0.6,1.1,1.5,5.0,9.4,.459,.461,.000,.728,.486,.459,F-C,POR,freeljo01
770,David Harrison,3.2,IND,1,29,2004,Colorado,2004-05,2007-08,22-25,189,33,0,5.0,9.5,5.0,9.5,0.0,0.0,2.7,5.1,2.5,4.9,7.4,0.6,0.9,2.5,2.9,7.2,12.7,.530,.530,,.525,.543,.530,C,IND,harrida01
771,Mario Hezonja,3.2,ORL,1,5,2015,,2015-16,2019-20,20-24,330,69,0,5.0,12.1,3.5,7.2,1.6,4.9,1.8,2.3,0.9,5.2,6.0,2.4,1.4,0.5,2.2,3.2,13.5,.417,.484,.319,.812,.516,.482,F-G,NYKORLPOR,hezonma01
772,Andrew Harrison,3.2,PHO,2,44,2015,Kentucky,2016-17,2018-19,22-24,145,64,0,3.8,10.1,2.6,6.3,1.1,3.9,3.5,4.5,0.6,2.8,3.5,4.8,1.1,0.6,2.1,4.4,12.2,.373,.422,.294,.779,.503,.429,G,CLEMEMNOP,harrian01
773,Dalton Knecht,3.1,LAL,1,17,2024,Tennessee,2024-25,2025-26,23-24,132,17,0,6.0,13.2,3.1,5.2,2.9,7.9,1.4,1.9,0.9,4.2,5.1,1.5,0.6,0.3,1.1,2.4,16.4,.460,.599,.368,.755,.588,.571,G,LAL,knechda01
774,Loren Woods,3.1,MIN,2,46,2001,Arizona,2001-02,2007-08,23-29,215,47,0,3.1,7.4,3.1,7.3,0.0,0.1,2.0,3.2,3.9,6.2,10.1,1.1,0.8,1.9,2.0,4.1,8.2,.419,.423,.143,.642,.470,.420,F-C,HOUMIAMINTOR,woodslo01
775,Dalen Terry,3.1,CHI,1,18,2022,Arizona,2022-23,2025-26,20-23,218,7,0,4.3,9.6,3.0,5.6,1.3,4.0,1.5,2.4,1.6,3.8,5.3,3.9,1.6,0.8,1.8,4.0,11.3,.443,.535,.314,.638,.530,.508,G,CHIPHI,terryda01
776,Yi Jianlian,3.1,MIL,1,6,2007,,2007-08,2011-12,20-24,272,163,0,4.8,12.0,4.4,10.7,0.4,1.3,2.7,3.4,2.3,5.7,8.0,1.1,0.8,1.1,1.8,3.7,12.8,.404,.413,.333,.780,.474,.423,F,DALMILNJNWAS,jianlyi01
777,Darius Bazley,3.1,UTA,1,23,2019,,2019-20,2023-24,19-23,237,118,0,5.0,12.2,3.5,7.2,1.5,4.9,2.2,3.2,1.3,6.8,8.1,1.8,0.9,1.2,1.9,1.5,13.7,.414,.485,.309,.677,.507,.476,F,OKCPHIPHOUTA,bazleda01
778,Antoine Wright,3.1,NJN,1,15,2005,Texas A&M,2005-06,2010-11,21-26,297,96,0,3.9,9.4,2.9,6.2,1.0,3.2,1.4,2.1,1.0,3.3,4.3,1.9,0.9,0.5,1.4,3.8,10.2,.412,.467,.304,.674,.490,.463,G-F,DALNJNSACTOR,wrighan01
779,Harry Giles,3.1,POR,1,20,2017,Duke,2018-19,2023-24,20-25,165,17,0,7.1,13.9,6.8,13.0,0.2,0.8,2.2,3.3,2.8,7.8,10.7,3.3,1.2,1.0,2.7,6.3,16.5,.508,.525,.244,.661,.538,.515,F-C,BRKLALPORSAC,gilesha01
780,Gradey Dick,3.1,TOR,1,13,2023,Kansas,2023-24,2025-26,20-22,190,72,0,5.6,13.5,3.3,6.6,2.4,6.9,2.3,2.7,1.0,3.3,4.3,2.0,1.2,0.2,1.6,2.8,16.0,.417,.494,.343,.864,.543,.504,G,TOR,dickgr01
781,Sion James,3.1,CHA,2,33,2025,Duke,2025-26,2025-26,23,82,19,0,2.7,7.3,1.1,2.7,1.6,4.6,1.6,1.9,1.0,4.6,5.6,3.2,1.0,0.4,1.3,2.9,8.6,.371,.404,.352,.837,.531,.483,G,CHO,jamessi01
782,Mickaël Gelabale,3.0,OKC,2,48,2005,,2006-07,2012-13,23-29,145,27,0,4.0,8.6,3.4,6.5,0.7,2.1,1.5,1.9,1.6,3.4,5.1,1.8,0.8,0.5,1.4,2.9,10.3,.470,.519,.316,.815,.545,.508,F,MINSEA,gelabmi01
783,Norris Cole,3.0,CHI,1,28,2011,Cleveland State,2011-12,2016-17,23-28,360,60,0,4.5,11.1,3.6,8.2,0.9,2.9,1.3,1.7,0.4,2.8,3.2,4.4,1.3,0.2,2.3,3.0,11.3,.407,.436,.324,.743,.475,.449,G,MIANOPOKC,coleno01
784,Damyean Dotson,3.0,NYK,2,44,2017,Oregon,2017-18,2021-22,23-27,213,49,0,5.1,12.3,3.0,6.1,2.1,6.2,1.1,1.6,0.5,4.0,4.5,2.7,0.9,0.2,1.3,2.2,13.5,.417,.491,.345,.711,.521,.504,G,CLENYK,dotsoda01
785,Ryan Kelly,3.0,LAL,2,48,2013,Duke,2013-14,2016-17,22-25,163,59,0,3.7,9.9,2.6,6.2,1.2,3.7,2.7,3.3,0.9,4.9,5.8,2.5,0.9,1.0,1.2,3.6,11.3,.378,.416,.316,.797,.498,.438,F,ATLLAL,kellyry01
786,Sean Williams,3.0,NJN,1,17,2007,Boston College,2007-08,2011-12,21-25,137,29,0,4.2,8.2,4.2,8.1,0.0,0.0,2.2,3.6,3.3,5.3,8.6,0.9,0.9,2.9,2.2,5.9,10.6,.511,.512,.000,.624,.543,.511,C-F,BOSDALNJN,willise01
787,Jordan Hamilton,3.0,DAL,1,26,2011,Texas,2011-12,2015-16,21-25,151,21,0,5.9,14.4,3.5,7.8,2.3,6.6,1.2,1.8,1.5,5.8,7.4,2.2,1.3,0.6,1.7,2.5,15.3,.408,.451,.357,.670,.503,.489,G-F,DENHOULACNOP,hamiljo02
788,Jordan Nwora,3.0,MIL,2,45,2020,Louisville,2020-21,2023-24,22-25,206,30,0,6.2,14.4,3.7,7.6,2.5,6.8,1.8,2.2,1.3,5.7,7.1,2.3,1.0,0.5,2.1,2.4,16.8,.433,.483,.376,.807,.546,.521,F,INDMILTOR,nworajo01
789,Kedrick Brown,3.0,BOS,1,11,2001,Okaloosa-Walton College,2001-02,2004-05,20-23,143,36,0,3.8,9.3,2.9,6.2,0.9,3.1,1.1,1.7,1.8,4.6,6.5,1.9,1.6,0.5,1.2,3.2,9.5,.405,.471,.274,.640,.471,.451,G,BOSCLEPHI,brownke01
790,John Jenkins,3.0,ATL,1,23,2012,Vanderbilt,2012-13,2018-19,21-27,171,8,0,5.1,11.6,3.2,6.4,1.9,5.3,1.9,2.3,0.6,3.5,4.1,2.3,0.5,0.2,1.6,1.6,14.1,.441,.503,.367,.847,.559,.524,G,ATLDALNYKPHOWAS,jenkijo01
791,Christian Koloko,2.9,TOR,2,33,2022,Arizona,2022-23,2025-26,22-25,122,23,0,3.4,7.0,3.4,6.4,0.0,0.6,1.4,2.1,3.6,4.7,8.3,1.6,1.0,2.3,1.2,5.3,8.3,.493,.532,.080,.648,.525,.497,C,ATLLALMEMTOR,kolokch01
792,Lonny Baxter,2.9,CHI,2,44,2002,Maryland,2002-03,2005-06,24-27,162,5,0,4.7,10.1,4.7,10.0,0.0,0.1,2.7,4.1,3.4,5.7,9.1,0.8,0.7,1.1,2.1,6.2,12.2,.466,.469,.200,.657,.510,.467,F,CHACHIHOUNOHTORWAS,baxtelo01
793,D.J. Wilson,2.9,MIL,1,17,2017,Michigan,2017-18,2023-24,21-27,148,6,0,4.9,11.6,3.0,5.8,1.9,5.9,1.2,2.0,1.6,7.4,9.0,2.2,0.8,0.9,1.6,3.5,13.0,.422,.514,.331,.618,.519,.505,F,HOUMILPHITOR,wilsodj01
794,Jaden Ivey,2.9,DET,1,5,2022,Purdue,2022-23,2025-26,20-23,218,169,0,6.7,15.5,4.6,9.6,2.1,6.0,3.6,4.9,1.3,3.2,4.5,5.1,1.0,0.5,3.3,3.3,19.1,.430,.478,.355,.749,.541,.498,G,CHIDET,iveyja01
795,Malachi Flynn,2.9,TOR,1,29,2020,San Diego State,2020-21,2024-25,22-26,217,21,0,5.0,12.9,2.8,6.3,2.2,6.6,1.7,2.2,0.7,3.7,4.4,4.8,1.4,0.3,1.7,2.9,13.9,.387,.443,.333,.747,.499,.472,G,CHODETNYKTOR,flynnma01
796,Joey Dorsey,2.9,POR,2,33,2008,Memphis,2008-09,2014-15,25-31,130,26,0,3.4,6.4,3.4,6.4,0.0,0.0,1.5,3.9,4.8,7.6,12.4,1.3,1.6,1.1,2.1,6.2,8.3,.534,.536,.000,.375,.511,.534,F,HOUSACTOR,dorsejo01
797,Earl Clark,2.9,PHO,1,14,2009,Louisville,2009-10,2014-15,22-27,261,54,0,4.5,11.2,3.7,8.7,0.8,2.5,1.5,2.2,1.9,5.8,7.7,1.3,0.8,1.3,1.7,3.2,11.3,.403,.424,.328,.664,.465,.439,F,BRKCLELALNYKORLPHO,clarkea01
798,Kai Jones,2.8,NYK,1,19,2021,Texas,2021-22,2024-25,21-24,107,6,0,5.4,8.1,5.2,7.2,0.2,0.9,1.5,2.2,2.7,6.0,8.6,1.5,1.1,1.8,1.8,4.1,12.6,.671,.724,.231,.682,.693,.683,F-C,CHODALLAC,joneska01
799,Abdel Nader,2.8,BOS,2,58,2016,Iowa State,2017-18,2021-22,24-28,202,8,0,4.6,10.8,2.9,6.0,1.7,4.9,1.9,2.6,0.7,4.5,5.2,1.5,1.1,0.8,1.9,3.4,12.9,.428,.486,.357,.718,.538,.508,F,BOSOKCPHO,naderab01
800,Marcus Fizer,2.7,CHI,1,4,2000,Iowa State,2000-01,2005-06,22-27,289,35,0,6.6,15.1,6.5,14.5,0.1,0.7,3.3,4.8,2.2,5.8,8.0,2.1,0.8,0.5,2.6,3.9,16.6,.435,.446,.191,.691,.481,.439,F,CHIMILNOK,fizerma01


