--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
58,Thaddeus Young,71.9,PHI,1,12,2007,Georgia Tech,2007-08,2023-24,19-35,1172,726,0,6.7,13.3,6.1,11.6,0.6,1.7,1.5,2.3,2.5,4.7,7.2,2.3,1.8,0.5,1.8,2.7,15.5,.503,.530,.328,.661,.541,.525,F,BRKCHIINDMINPHIPHOSASTOR,youngth01
59,George Hill,71.0,SAS,1,26,2008,IU Indy,2008-09,2022-23,22-36,915,484,0,5.0,10.9,3.4,6.7,1.6,4.1,2.5,3.1,0.8,3.2,4.0,4.1,1.2,0.3,1.6,2.6,14.0,.457,.504,.380,.806,.573,.529,G,CLEINDMILOKCPHISACSASUTA,hillge01
60,Al Jefferson,71.0,BOS,1,15,2004,,2004-05,2017-18,20-33,915,651,0,8.4,16.9,8.4,16.8,0.0,0.1,2.8,3.9,2.8,7.7,10.5,1.8,0.9,1.5,1.7,3.2,19.6,.499,.501,.121,.711,.528,.499,C-F,BOSCHACHOINDMINUTA,jeffeal01
61,Domantas Sabonis,71.0,ORL,1,11,2016,Gonzaga,2016-17,2025-26,20-29,665,521,3,7.4,13.2,6.8,11.6,0.6,1.6,3.5,4.9,3.2,9.3,12.5,5.7,0.9,0.5,3.0,3.7,18.8,.559,.590,.342,.729,.615,.580,C-F,INDOKCSAC,sabondo01
62,Joel Embiid,69.0,PHI,1,3,2014,Kansas,2016-17,2025-26,22-31,490,490,7,10.3,20.5,8.9,16.6,1.3,4.0,9.3,11.2,2.5,9.7,12.2,4.2,1.0,1.8,3.8,3.3,31.2,.500,.539,.339,.830,.613,.533,C,PHI,embiijo01
63,Jayson Tatum,67.2,BOS,1,3,2017,Duke,2017-18,2025-26,19-27,601,601,6,8.5,18.6,5.8,11.1,2.8,7.5,4.7,5.6,0.9,6.8,7.7,4.0,1.1,0.7,2.5,2.2,24.6,.458,.518,.368,.839,.582,.532,F,BOS,tatumja01
64,Luka Dončić,66.6,ATL,1,3,2018,,2018-19,2025-26,19-26,514,514,6,10.1,21.6,6.8,12.3,3.3,9.3,6.6,8.7,0.9,7.8,8.8,8.5,1.3,0.5,4.1,2.4,30.0,.469,.556,.352,.755,.592,.544,G-F,DALLAL,doncilu01
65,Harrison Barnes,66.4,GSW,1,7,2012,North Carolina,2012-13,2025-26,20-33,1070,984,0,5.6,12.2,3.9,7.7,1.7,4.5,3.0,3.7,1.2,4.2,5.4,2.1,0.8,0.2,1.3,1.7,15.9,.460,.503,.385,.811,.576,.530,F,DALGSWSACSAS,barneha02
66,Draymond Green,66.3,GSW,2,35,2012,Michigan State,2012-13,2025-26,22-35,949,794,4,4.0,9.0,2.9,5.5,1.1,3.5,1.8,2.5,1.4,7.2,8.6,7.1,1.6,1.2,2.9,3.6,10.9,.447,.527,.321,.710,.541,.509,F,GSW,greendr01
67,Yao Ming,65.9,HOU,1,1,2002,,2002-03,2010-11,22-30,486,476,8,7.7,14.7,7.7,14.6,0.0,0.0,5.7,6.8,2.8,7.4,10.2,1.8,0.4,2.1,3.0,3.6,21.0,.524,.525,.200,.833,.596,.525,C,HOU,mingya01
68,Lou Williams,65.7,PHI,2,45,2005,,2005-06,2021-22,19-35,1123,122,0,6.7,16.0,4.8,10.5,1.9,5.5,5.4,6.4,0.6,2.7,3.3,5.0,1.3,0.3,2.5,1.9,20.7,.419,.454,.351,.842,.551,.479,G,ATLHOULACLALPHITOR,willilo02
69,Danilo Gallinari,65.4,NYK,1,6,2008,,2008-09,2023-24,20-35,777,563,0,5.7,13.3,3.3,7.1,2.3,6.1,4.9,5.6,0.8,5.0,5.8,2.4,0.9,0.4,1.5,2.2,18.6,.428,.469,.381,.876,.592,.516,F,ATLDENDETLACMILNYKOKCWAS,gallida01
70,Marvin Williams,65.1,ATL,1,2,2005,North Carolina,2005-06,2019-20,19-33,1072,828,0,4.7,10.6,3.4,7.1,1.2,3.5,2.5,3.0,1.5,5.1,6.6,1.6,1.0,0.7,1.2,2.6,13.1,.443,.482,.361,.808,.548,.502,F,ATLCHOMILUTA,willima02
71,Trevor Ariza,64.3,NYK,2,43,2004,UCLA,2004-05,2021-22,19-36,1118,769,0,4.5,10.7,2.8,5.7,1.8,5.0,1.9,2.6,1.2,4.7,5.9,2.6,1.8,0.4,1.6,2.4,12.7,.422,.484,.351,.731,.535,.504,F,HOULALMIANOHNYKORLPHOPORSACWAS,arizatr01
72,Bam Adebayo,64.0,MIA,1,14,2017,Kentucky,2017-18,2025-26,20-28,640,536,3,7.2,13.8,6.8,12.4,0.4,1.3,4.2,5.5,2.6,7.9,10.5,4.2,1.3,1.0,2.4,2.7,19.0,.522,.544,.316,.759,.586,.537,C-F,MIA,adebaba01
73,Steven Adams,63.7,OKC,1,12,2013,Pittsburgh,2013-14,2025-26,20-32,796,655,0,5.1,8.7,5.1,8.6,0.0,0.0,2.1,3.9,5.1,6.1,11.2,2.1,1.2,1.3,2.0,3.3,12.2,.584,.585,.059,.534,.588,.584,C,HOUMEMNOPOKC,adamsst01
74,JJ Redick,63.7,ORL,1,11,2006,Duke,2006-07,2020-21,22-36,940,488,0,6.0,13.5,3.1,6.4,2.9,7.1,3.1,3.5,0.3,2.6,2.9,2.8,0.6,0.1,1.6,2.1,18.1,.447,.482,.415,.892,.602,.555,G,DALLACMILNOPORLPHI,redicjj01
75,Gordon Hayward,63.5,UTA,1,9,2010,Butler,2010-11,2023-24,20-33,835,649,1,6.2,13.6,4.7,9.4,1.6,4.2,3.8,4.7,0.9,4.3,5.2,4.1,1.1,0.5,2.2,2.0,17.8,.455,.493,.370,.822,.567,.512,F-G,BOSCHOOKCUTA,haywago01
76,Hedo Türkoğlu,63.3,SAC,1,16,2000,,2000-01,2014-15,21-35,997,571,0,5.2,12.2,3.5,7.8,1.7,4.4,2.8,3.6,0.9,4.5,5.4,3.8,1.0,0.4,2.1,3.2,14.9,.426,.450,.384,.784,.540,.495,F,LACORLPHOSACSASTOR,turkohe01
77,Tayshaun Prince,63.1,DET,1,23,2002,Kentucky,2002-03,2015-16,22-35,1017,902,0,5.2,11.5,4.6,9.7,0.6,1.8,1.8,2.3,1.3,3.7,4.9,2.7,0.7,0.6,1.2,1.4,12.9,.455,.470,.367,.756,.513,.483,F,BOSDETMEMMIN,princta01
78,Joakim Noah,61.9,CHI,1,9,2007,Florida,2007-08,2019-20,22-34,672,512,2,4.3,8.8,4.3,8.8,0.0,0.0,2.7,3.8,4.1,7.6,11.7,3.7,1.0,1.7,2.2,3.6,11.4,.491,.493,.000,.700,.540,.491,C,CHILACMEMNYK,noahjo01
79,Rajon Rondo,61.8,PHO,1,21,2006,Kentucky,2006-07,2021-22,20-35,957,733,4,4.9,10.7,4.3,9.0,0.6,1.7,1.4,2.3,1.1,4.3,5.5,9.6,1.9,0.2,3.3,2.5,11.8,.456,.482,.324,.611,.501,.483,G,ATLBOSCHICLEDALLACLALNOPSAC,rondora01
80,Kevin Martin,61.3,SAC,1,26,2004,Western Carolina,2004-05,2015-16,21-32,714,504,0,6.4,14.7,4.5,9.7,1.9,5.0,5.9,6.8,0.7,3.1,3.8,2.3,1.1,0.1,2.0,2.3,20.7,.437,.464,.384,.870,.585,.502,G,HOUMINOKCSACSAS,martike02
81,Marcin Gortat,61.3,PHO,2,57,2005,,2007-08,2018-19,23-34,806,587,0,5.9,10.7,5.9,10.7,0.0,0.0,2.0,2.9,3.1,8.1,11.1,1.6,0.7,1.5,1.7,3.1,13.8,.551,.553,.150,.680,.575,.552,C-F,LACORLPHOWAS,gortama01
82,Rudy Gay,61.0,HOU,1,8,2006,Connecticut,2006-07,2022-23,20-36,1120,779,0,6.9,15.4,5.7,11.8,1.2,3.6,3.2,4.1,1.5,5.0,6.5,2.4,1.3,0.8,2.3,2.6,18.4,.452,.484,.346,.799,.535,.492,F,MEMSACSASTORUTA,gayru01
83,Mike Miller,60.7,ORL,1,5,2000,Florida,2000-01,2016-17,20-36,1032,570,0,5.2,11.3,3.1,6.3,2.1,5.1,1.7,2.3,0.8,4.8,5.7,3.5,0.7,0.3,2.0,2.6,14.2,.459,.502,.407,.769,.576,.550,F-G,CLEDENMEMMIAMINORLWAS,millemi01
