--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
44,Rasual Butler,2125,MIA,2,53,2002,La Salle,1998-99,2001-02,110,108,13.3,,,7.1,6.1,.126,,,,,,,,,,,12.6,,F,La Salle,rasual-butler-1
45,Walter Clayton Jr.,2117,WAS,1,18,2025,Florida,2021-22,2024-25,139,110,18.5,121,102,12.4,6.1,.192,5.8,2.5,8.3,21.6,1.8,11.5,6.7,19.7,2.5,1.9,12.9,25.4,G,FloridaIona,walter-claytonjr-1
46,Jack McClinton,2110,SAS,2,51,2009,Miami (FL),2004-05,2008-09,125,106,15.8,,,11.8,4.0,.159,,,,,,,4.7,19.5,,0.1,14.8,27.6,G,Miami (FL)Siena,jack-mcclinton-1
47,Andrew Nicholson,2103,ORL,1,19,2012,St. Bonaventure,2008-09,2011-12,123,118,18.5,116,100,12.7,5.9,.202,5.6,1.3,6.8,27.7,8.9,20.5,14.9,7.4,0.9,6.0,14.8,29.1,F,St. Bonaventure,andrew-nicholson-1
48,A.J. Guyton,2100,CHI,2,32,2000,Indiana,1996-97,1999-00,128,122,15.6,,,11.5,4.1,.144,,,,,,,,,,,13.9,,G,Indiana,aj-guyton-1
49,Nick Collison,2097,OKC,1,12,2003,Kansas,1999-00,2002-03,142,130,25.2,,,11.0,14.2,.259,,,,,,,15.1,8.5,2.4,4.0,16.1,22.6,F,Kansas,nick-collison-1
50,Da'Sean Butler,2095,MIA,2,42,2010,West Virginia,2006-07,2009-10,146,110,20.4,121,99,11.2,9.2,.181,,,,22.5,5.0,15.4,10.4,13.4,1.7,0.7,11.6,24.6,F,West Virginia,dasean-butler-1
51,Jason Kapono,2095,CLE,2,31,2003,UCLA,1999-00,2002-03,127,126,17.1,,,13.7,3.5,.159,,,,,,,8.6,11.8,,0.1,14.3,22.1,F,UCLA,jason-kapono-1
52,Jameer Nelson,2094,DEN,1,20,2004,Saint Joseph's,2000-01,2003-04,125,125,19.9,,,11.7,8.2,.184,,,,,,,,,,,17.2,,G,Saint Joseph's,jameer-nelson-1
53,Jay Williams,2079,CHI,1,2,2002,Duke,1999-00,2001-02,108,108,17.6,,,10.3,7.2,.197,,,,,,,,,,,18.9,,G,Duke,jay-williams-1
