--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
587,Ken Johnson,1055,MIA,2,49,2001,Ohio State,1997-98,2000-01,127,123,18.7,,,5.4,13.3,.210,,,,,,,,,,,16.8,,C,Ohio State,ken-johnson-2
588,Miles Bridges,1055,LAC,1,12,2018,Michigan State,2016-17,2017-18,62,60,9.1,114,96,5.2,4.0,.186,6.4,3.0,9.5,22.8,5.4,20.4,13.6,15.8,1.2,3.6,12.7,27.2,F,Michigan State,miles-bridges-1
589,Tyler Dorsey,1055,ATL,2,41,2017,Oregon,2015-16,2016-17,75,74,9.2,118,103,6.1,3.1,.164,4.6,1.2,5.8,18.8,4.3,10.3,7.4,11.4,1.5,0.5,12.5,22.6,G,Oregon,tyler-dorsey-1
590,Aaron Wiggins,1052,OKC,2,55,2021,Maryland,2018-19,2020-21,96,50,8.7,106,99,4.5,4.2,.129,3.6,2.5,6.1,16.4,4.6,13.9,9.5,11.9,1.9,1.5,12.1,22.3,G,Maryland,aaron-wiggins-1
591,Erik Murphy,1052,CHI,2,49,2013,Florida,2009-10,2012-13,136,67,12.1,119,94,7.3,4.8,.195,5.3,3.1,8.4,21.3,7.8,17.5,12.6,7.9,1.4,3.7,14.1,21.0,F,Florida,erik-murphy-1
592,Ryan Rollins,1051,ATL,2,44,2022,Toledo,2020-21,2021-22,64,64,8.5,110,99,5.2,3.3,.169,2.0,1.1,3.1,21.2,3.0,15.4,9.5,18.3,2.6,0.7,13.3,27.1,G,Toledo,ryan-rollins-1
593,Jae Crowder,1049,CLE,2,34,2012,Marquette,2010-11,2011-12,72,52,12.6,125,91,7.8,4.8,.233,7.5,4.3,11.8,26.7,8.2,20.8,14.5,12.5,3.6,3.2,7.6,21.9,F,Marquette,jae-crowder-1
594,Bobby Portis,1047,CHI,1,22,2015,Arkansas,2013-14,2014-15,70,70,10.5,121,96,6.6,3.8,.210,6.3,2.1,8.4,26.7,12.0,18.6,15.3,9.8,2.1,5.3,9.6,24.2,F,Arkansas,bobby-portis-1
595,Keegan Murray,1046,SAC,1,4,2022,Iowa,2020-21,2021-22,66,39,11.4,132,96,8.2,3.1,.271,10.3,3.0,13.2,33.0,9.8,19.9,14.9,8.4,2.4,6.7,6.6,26.0,F,Iowa,keegan-murray-1
596,Rakeem Christmas,1046,MIN,2,36,2015,Syracuse,2011-12,2014-15,142,140,13.3,115,93,6.5,6.8,.171,1.6,4.2,5.8,20.5,10.2,17.6,13.8,6.0,1.5,9.8,15.4,17.4,F,Syracuse,rakeem-christmas-1
597,Larry Sanders,1044,MIL,1,15,2010,VCU,2007-08,2009-10,101,82,14.6,116,91,4.7,10.0,.246,,,,29.5,12.9,24.9,18.6,5.5,1.6,10.7,13.8,23.5,F,VCU,larry-sanders-1
598,Cole Aldrich,1038,NOH,1,11,2010,Kansas,2007-08,2009-10,111,71,16.5,121,83,7.4,9.0,.282,,,,27.9,13.6,25.4,20.5,6.5,1.6,9.9,13.6,21.0,C,Kansas,cole-aldrich-1
599,Tim Pickett,1038,NOH,2,44,2004,Florida State,2002-03,2003-04,62,62,8.6,,,4.7,3.9,.177,,,,,,,9.7,14.3,,0.7,13.0,27.9,G,Florida State,tim-pickett-1
600,Royal Ivey,1036,ATL,2,37,2004,Texas,2000-01,2003-04,133,126,10.0,,,3.7,6.3,.121,,,,,,,7.0,17.4,,0.6,16.7,18.1,G,Texas,royal-ivey-1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Stathead</a>: <a href="https://www.sports-reference.com/stathead/basketball/cbb/player-season-finder.cgi?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Found with Stathead. See Full Results.</a><br>Generated 5/5/2026.--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
601,K.J. McDaniels,1035,PHI,2,32,2014,Clemson,2011-12,2013-14,94,61,10.7,111,93,5.6,5.1,.186,5.5,4.4,10.0,25.1,9.1,14.9,12.0,9.6,2.4,8.5,12.9,26.5,F,Clemson,kj-mcdaniels-1
602,Semaj Christon,1034,MIA,2,55,2014,Xavier,2012-13,2013-14,64,63,6.8,104,104,4.1,2.7,.122,2.6,1.5,4.1,18.5,1.1,8.7,5.0,28.5,2.5,0.6,16.7,28.2,G,Xavier,semaj-christon-1
603,Josh Okogie,1033,MIN,1,20,2018,Georgia Tech,2016-17,2017-18,61,61,7.9,109,99,4.4,3.5,.157,4.1,2.7,6.7,21.4,6.4,13.3,10.0,13.6,2.6,2.6,12.8,27.4,G,Georgia Tech,josh-okogie-1
604,Jason Preston,1032,ORL,2,33,2021,Ohio,2018-19,2020-21,82,73,10.3,112,102,6.7,3.6,.147,2.5,1.0,3.5,19.5,2.7,16.1,9.4,34.0,2.0,0.4,19.2,20.1,G,Ohio,jason-preston-1
605,Kira Lewis Jr.,1031,NOH,1,13,2020,Alabama,2018-19,2019-20,65,65,7.1,109,105,4.9,2.3,.127,3.0,1.5,4.5,17.7,1.9,9.1,5.5,23.5,2.0,1.2,16.5,23.5,G,Alabama,kira-lewisjr-1
606,Tremont Waters,1029,BOS,2,51,2019,Louisiana State,2017-18,2018-19,66,61,8.2,111,104,5.4,2.8,.152,5.0,2.5,7.5,21.6,1.1,9.7,5.4,33.9,4.3,0.4,18.4,26.1,G,Louisiana State,tremont-waters-1
607,Antonio Burks,1028,ORL,2,36,2004,Memphis,2001-02,2003-04,91,80,10.7,,,4.2,6.6,.154,,,,,,,5.1,36.2,,0.5,17.5,23.7,G,Memphis,antonio-burks-1
608,Hasheem Thabeet,1028,MEM,1,2,2009,Connecticut,2006-07,2008-09,100,99,19.9,,,7.2,12.8,.272,,,,,,,17.9,2.9,,9.2,17.5,19.0,C,Connecticut,hasheem-thabeet-1
609,Julian Strawther,1028,IND,1,29,2023,Gonzaga,2020-21,2022-23,94,68,9.9,122,99,6.2,3.7,.180,4.6,1.2,5.8,19.0,4.4,17.0,11.1,5.8,1.3,1.1,9.9,20.7,G,Gonzaga,julian-strawther-1
610,Thomas Robinson,1026,SAC,1,5,2012,Kansas,2009-10,2011-12,105,42,10.6,109,85,5.1,5.5,.217,4.9,3.2,8.1,26.1,13.8,31.2,22.8,11.0,1.9,3.9,15.6,28.3,F,Kansas,thomas-robinson-2
611,Gary Harris,1025,CHI,1,19,2014,Michigan State,2012-13,2013-14,69,67,9.8,117,98,6.2,3.6,.183,6.0,3.6,9.6,21.0,3.9,8.6,6.3,13.5,3.1,1.1,11.0,24.6,G,Michigan State,gary-harris-1
612,Magnum Rolle,1023,OKC,2,51,2010,Louisiana Tech,2005-06,2009-10,126,72,10.9,111,98,4.4,6.6,.165,,,,24.0,13.2,18.3,15.3,5.1,1.5,6.0,15.9,20.8,F,Louisiana StateLouisiana Tech,magnum-rolle-1
613,Delon Wright,1022,TOR,1,20,2015,Utah,2013-14,2014-15,68,68,15.8,127,89,9.5,6.3,.266,7.6,6.3,13.9,28.1,4.3,15.4,10.3,30.8,4.0,3.5,15.8,22.1,G,Utah,delon-wright-1
614,Tony Allen,1022,BOS,1,25,2004,Oklahoma State,2002-03,2003-04,67,62,10.8,,,4.6,6.3,.206,,,,,,,9.6,19.0,,1.7,16.8,26.1,G,Oklahoma State,tony-allen-1
615,Josh Huestis,1019,OKC,1,29,2014,Stanford,2010-11,2013-14,135,75,11.6,110,97,5.5,6.0,.137,2.6,2.7,5.4,17.6,10.0,19.9,14.8,6.7,1.2,5.9,11.1,17.0,F,Stanford,josh-huestis-1
616,Christian Braun,1018,DEN,1,21,2022,Kansas,2019-20,2021-22,101,74,11.6,115,96,6.2,5.4,.161,4.5,3.5,7.9,17.2,4.6,14.9,9.9,11.4,1.9,2.0,12.9,17.9,G,Kansas,christian-braun-1
617,Doron Lamb,1018,MIL,2,42,2012,Kentucky,2010-11,2011-12,78,49,10.9,128,102,8.1,2.8,.187,4.9,1.9,6.8,19.0,1.8,7.0,4.5,10.0,1.1,0.3,10.4,19.9,G,Kentucky,doron-lamb-1
618,Colton Iverson,1014,IND,2,53,2013,Colorado State,2008-09,2012-13,133,77,10.7,108,97,5.6,5.1,.155,3.7,1.5,5.2,20.4,12.3,23.2,16.5,9.1,1.3,4.7,18.6,20.9,F,Colorado StateMinnesota,colton-iverson-1
619,Kentavious Caldwell-Pope,1013,DET,1,8,2013,Georgia,2011-12,2012-13,64,60,9.6,111,95,5.8,3.8,.182,6.6,3.3,9.9,24.0,4.6,18.8,11.5,13.3,3.8,1.6,9.7,27.0,G,Georgia,kentavious-caldwell-pope-1
620,Andre Roberson,1012,MIN,1,26,2013,Colorado,2010-11,2012-13,105,65,13.7,111,88,6.2,7.5,.185,3.9,3.9,7.8,23.5,12.6,29.2,21.0,8.4,3.3,5.4,16.9,19.0,F,Colorado,andre-roberson-1
621,Jordan Hamilton,1012,DAL,1,26,2011,Texas,2009-10,2010-11,70,36,9.4,113,93,5.5,3.9,.205,8.3,3.1,11.4,23.3,6.4,16.8,11.7,14.2,1.8,1.8,11.7,27.7,G,Texas,jordan-hamilton-2
622,Stephane Lasme,1011,GSW,2,46,2007,Massachusetts,2003-04,2006-07,118,90,16.0,,,6.8,9.2,.224,,,,,,,16.5,5.3,,10.7,20.7,19.0,F,Massachusetts,stephane-lasme-1
623,Ty Jerome,1011,PHI,1,24,2019,Virginia,2016-17,2018-19,105,76,13.7,115,92,7.0,6.7,.198,4.5,5.1,9.5,19.7,1.4,12.7,7.2,28.0,3.0,0.2,13.8,21.9,G,Virginia,ty-jerome-1
624,Jordan Crawford,1009,NJN,1,27,2010,Xavier,2007-08,2009-10,65,42,8.2,115,98,5.1,3.0,.172,,,,25.4,3.4,12.0,7.9,19.5,2.4,0.6,13.6,27.4,G,IndianaXavier,jordan-crawford-1
625,Jared Jeffries,1008,WAS,1,11,2002,Indiana,2000-01,2001-02,70,70,8.9,,,3.0,6.0,.156,,,,,,,,,,,17.1,,F,Indiana,jared-jeffries-1
626,Domantas Sabonis,1002,ORL,1,11,2016,Gonzaga,2014-15,2015-16,74,32,12.3,124,91,7.5,4.8,.249,4.8,2.3,7.1,27.4,12.4,26.4,20.1,9.7,1.2,2.2,16.6,23.9,F,Gonzaga,domantas-sabonis-1
627,Daniel Oturu,1000,MIN,2,33,2020,Minnesota,2018-19,2019-20,66,62,9.0,113,95,5.4,3.6,.192,5.5,2.9,8.5,26.8,11.9,22.6,17.3,6.7,1.0,6.5,14.4,26.4,C,Minnesota,daniel-oturu-1
628,Jeff Teague,1000,ATL,1,19,2009,Wake Forest,2007-08,2008-09,61,52,9.1,,,5.6,3.5,.193,,,,,,,5.0,16.7,,1.2,17.4,24.3,G,Wake Forest,jeff-teague-1
629,Joey Dorsey,997,POR,2,33,2008,Memphis,2004-05,2007-08,149,112,23.8,,,5.0,18.9,.295,,,,,,,20.2,3.0,,5.9,18.3,14.8,F,Memphis,joey-dorsey-1
630,Melvin Frazier,997,ORL,2,35,2018,Tulane,2015-16,2017-18,94,69,6.5,104,104,3.1,3.4,.100,1.2,2.0,3.2,17.1,4.8,13.2,8.9,12.8,3.3,1.8,17.4,20.6,G,Tulane,melvin-frazier-1
631,Danny Wolf,995,NJN,1,27,2025,Michigan,2022-23,2024-25,90,68,8.5,105,95,3.3,5.2,.150,3.1,3.6,6.8,20.5,8.7,26.5,18.0,19.0,1.6,5.1,18.6,25.1,F,MichiganYale,danny-wolf-1
632,Caleb Swanigan,994,POR,1,26,2017,Purdue,2015-16,2016-17,69,69,9.0,109,93,4.4,4.6,.178,3.5,3.0,6.4,21.5,9.3,30.4,20.6,16.4,0.8,1.8,19.7,26.3,F,Purdue,caleb-swanigan-1
633,Vernon Macklin,993,DET,2,52,2011,Florida,2006-07,2010-11,136,69,10.0,114,99,5.9,4.1,.160,3.1,1.4,4.5,22.2,11.4,13.9,11.8,8.1,1.1,3.2,15.2,20.7,F,FloridaGeorgetown,vernon-macklin-1
634,Gordon Hayward,992,UTA,1,9,2010,Butler,2008-09,2009-10,69,69,14.2,117,90,7.9,6.3,.249,,,,24.3,7.6,23.4,14.1,12.9,2.0,2.7,14.8,22.3,F,Butler,gordon-hayward-1
635,Joe Alexander,990,MIL,1,8,2008,West Virginia,2005-06,2007-08,82,70,9.5,,,2.9,6.6,.183,,,,,,,11.4,16.5,,3.7,13.4,27.6,G,West Virginia,joe-alexander-1
636,Kawhi Leonard,990,IND,1,15,2011,San Diego State,2009-10,2010-11,70,69,11.8,111,88,6.1,5.7,.211,5.3,3.9,9.2,25.0,12.6,25.0,19.0,14.4,2.7,2.2,13.7,26.0,F,San Diego State,kawhi-leonard-1
637,Reggie Bullock,989,LAC,1,25,2013,North Carolina,2010-11,2012-13,100,53,10.8,122,97,6.8,4.0,.176,5.8,3.0,8.8,19.5,6.6,15.5,10.8,12.1,2.0,0.8,9.7,18.2,G,North Carolina,reggie-bullock-2
638,Isaiah Livers,987,DET,2,42,2021,Michigan,2017-18,2020-21,119,69,11.7,120,97,6.5,5.2,.169,4.2,3.6,7.8,17.3,4.6,13.9,9.5,7.3,1.3,2.2,9.9,17.3,F,Michigan,isaiah-livers-1
639,Paul Reed,983,PHI,2,58,2020,DePaul,2017-18,2019-20,93,58,9.6,113,95,5.2,4.4,.178,3.8,3.0,6.8,25.3,11.3,25.1,18.1,8.8,2.8,7.9,14.7,22.0,F,DePaul,paul-reed-5
640,Alize Johnson,982,IND,2,50,2018,Missouri State,2016-17,2017-18,66,66,9.3,114,99,5.8,3.5,.184,5.6,-0.1,5.5,24.4,12.2,29.9,21.1,16.6,1.0,1.1,14.4,26.4,F,Missouri State,alize-johnson-1
641,Khris Middleton,981,DET,2,39,2012,Texas A&M,2009-10,2011-12,87,72,8.8,107,96,4.8,4.0,.156,5.4,2.2,7.6,19.6,7.0,14.4,10.6,18.7,2.4,0.9,15.9,25.5,F,Texas A&M,khris-middleton-1
642,DeJuan Blair,979,SAS,2,37,2009,Pittsburgh,2007-08,2008-09,72,71,15.0,,,5.4,9.6,.314,,,,,,,22.7,8.2,,2.9,12.0,24.6,F,Pittsburgh,dejuan-blair-1
643,Chris Singleton,975,WAS,1,18,2011,Florida State,2008-09,2010-11,95,91,10.0,98,84,2.5,7.5,.145,3.3,5.6,9.0,18.8,8.0,16.9,11.9,10.6,4.1,5.1,19.1,21.4,F,Florida State,chris-singleton-1
644,Paul George,974,IND,1,10,2010,Fresno State,2008-09,2009-10,63,63,8.3,108,95,5.3,3.0,.155,,,,24.3,6.7,18.8,11.5,16.8,4.0,2.5,17.1,24.6,F,Fresno State,paul-george-1
645,Ruben Boumtje-Boumtje,973,POR,2,50,2001,Georgetown,1997-98,2000-01,101,86,16.0,,,3.7,12.3,.260,,,,,,,,,,,22.8,,C,Georgetown,ruben-boumtje-boumtje-1
646,Mark Karcher,972,PHI,2,48,2000,Temple,1998-99,1999-00,67,63,7.1,,,1.2,5.9,.138,,,,,,,,,,,11.1,,F,Temple,mark-karcher-1
647,Kyle Kuzma,966,NJN,1,27,2017,Utah,2014-15,2016-17,96,64,8.2,111,99,4.7,3.5,.163,3.3,0.9,4.1,21.1,9.7,20.5,15.5,14.0,0.9,1.8,14.9,25.9,F,Utah,kyle-kuzma-1
648,Leon Powe Jr,962,DEN,2,49,2006,California,2003-04,2005-06,54,53,8.2,,,4.4,3.8,.186,,,,,,,18.6,8.2,,1.4,12.0,29.8,F,California,leon-powe-1
649,Nikola Vucevic,962,PHI,1,16,2011,Southern California,2008-09,2010-11,87,67,12.0,115,91,6.5,5.5,.199,6.7,2.8,9.4,24.2,10.8,24.5,17.7,10.1,1.0,4.4,13.3,22.7,F,Southern California,nikola-vucevic-1
650,Isaiah Mobley,960,CLE,2,49,2022,Southern California,2019-20,2021-22,95,72,10.4,110,95,5.4,5.1,.159,3.3,3.0,6.3,18.7,9.0,18.6,14.1,13.8,1.3,3.1,13.7,20.4,F,Southern California,isaiah-mobley-1
651,Josh Boone,959,NJN,1,23,2006,Connecticut,2003-04,2005-06,103,100,14.2,,,5.1,9.1,.213,,,,,,,13.4,4.6,,4.7,14.2,15.7,C,Connecticut,josh-boone-1
652,Herbert Hill,958,UTA,2,55,2007,Providence,2003-04,2006-07,99,63,10.4,,,6.0,4.4,.213,,,,,,,15.1,5.7,,6.9,16.5,22.8,F,Providence,herbert-hill-1
653,Carrick Felix,955,CLE,2,33,2013,Arizona State,2010-11,2012-13,94,69,7.3,105,102,4.2,3.1,.111,1.8,1.2,2.9,17.1,5.9,14.9,10.5,10.4,2.2,3.1,15.8,21.0,G,Arizona State,carrick-felix-1
654,Daniel Gafford,955,CHI,2,38,2019,Arkansas,2017-18,2018-19,67,58,8.3,118,98,5.2,3.1,.194,4.9,2.7,7.6,27.8,11.1,21.4,16.3,6.0,1.6,10.0,12.9,25.0,F,Arkansas,daniel-gafford-1
655,Terrico White,955,DET,2,36,2010,Ole Miss,2008-09,2009-10,66,55,6.5,114,104,4.4,2.1,.128,,,,19.1,5.3,9.9,7.6,9.1,1.5,0.6,9.9,23.9,G,Ole Miss,terrico-white-1
656,Ben Bentil,954,BOS,2,51,2016,Providence,2014-15,2015-16,69,56,7.7,113,101,4.8,2.8,.159,4.1,1.4,5.4,20.5,10.0,15.7,12.8,7.1,1.2,2.7,11.0,25.1,F,Providence,ben-bentil-1
657,DeAndre Daniels,953,TOR,2,37,2014,Connecticut,2011-12,2013-14,99,80,7.7,105,97,3.5,4.2,.131,2.0,2.3,4.3,18.2,6.1,16.7,11.6,4.8,1.6,5.2,12.6,23.1,F,Connecticut,deandre-daniels-1
658,Jaylon Tyson,952,CLE,1,20,2024,California,2021-22,2023-24,70,61,6.9,110,103,4.0,2.9,.137,4.5,2.1,6.6,20.0,5.9,17.4,11.7,16.8,2.4,1.6,15.2,24.9,G,CaliforniaTexasTexas Tech,jaylon-tyson-1
659,Tony Snell,952,CHI,1,20,2013,New Mexico,2010-11,2012-13,104,76,8.9,110,99,5.1,3.8,.138,3.7,1.8,5.6,15.6,2.0,9.8,5.9,18.1,1.3,1.6,15.6,20.1,G,New Mexico,tony-snell-1
660,Patrick Mills,950,POR,2,55,2009,St. Mary's (CA),2007-08,2008-09,58,56,7.6,,,3.8,3.8,.160,,,,,,,3.8,23.6,,0.4,15.8,27.3,G,St. Mary's (CA),patrick-mills-1
661,Erick Barkley,949,POR,1,28,2000,St. John's (NY),1998-99,1999-00,65,64,6.7,,,2.9,3.8,.118,,,,,,,,,,,13.4,,G,St. John's (NY),erick-barkley-1
662,Ryan Kelly,949,LAL,2,48,2013,Duke,2009-10,2012-13,126,69,11.6,122,95,7.2,4.5,.191,5.8,3.8,9.6,20.8,6.8,15.2,11.1,9.0,1.7,5.0,11.4,18.8,F,Duke,ryan-kelly-3
663,Trey Murphy III,949,MEM,1,17,2021,Virginia,2018-19,2020-21,86,45,8.6,121,105,6.3,2.3,.152,4.4,0.1,4.5,19.0,3.5,13.0,8.3,8.0,1.6,2.1,9.7,19.4,G,RiceVirginia,trey-murphyiii-1
664,Chris Paul,948,NOH,1,4,2005,Wake Forest,2003-04,2004-05,63,62,9.4,,,6.3,3.1,.178,,,,,,,6.6,32.3,,0.4,18.3,20.6,G,Wake Forest,chris-paul-1
665,Vince Williams Jr.,948,MEM,2,47,2022,VCU,2018-19,2021-22,110,54,10.5,106,90,4.1,6.3,.163,2.2,3.9,6.1,17.5,5.1,16.5,11.0,16.0,2.9,2.6,20.2,20.7,G,VCU,vince-williams-2
666,Herb Jones,947,NOH,2,35,2021,Alabama,2017-18,2020-21,129,101,7.9,98,97,2.2,5.6,.102,-0.1,4.2,4.1,14.4,7.0,14.5,10.9,16.9,3.0,3.2,21.8,18.9,F,Alabama,herb-jones-3
667,Richard Jefferson,944,HOU,1,13,2001,Arizona,1998-99,2000-01,84,77,9.8,,,5.0,4.8,.177,,,,,,,,,,,21.6,,F,Arizona,richard-jefferson-1
668,Greg Monroe,942,DET,1,7,2010,Georgetown,2008-09,2009-10,65,65,10.5,110,94,6.0,4.5,.198,,,,25.2,8.6,25.2,15.5,20.7,2.2,4.4,19.0,24.7,C,Georgetown,greg-monroe-1
669,Wendell Moore Jr.,942,DAL,1,26,2022,Duke,2019-20,2021-22,88,68,9.3,111,100,5.6,3.7,.144,2.9,2.2,5.2,17.6,5.3,13.0,9.3,18.3,2.4,0.7,17.9,19.8,F,Duke,wendell-moorejr-1
670,Rick Rickert,940,MIN,2,55,2003,Minnesota,2001-02,2002-03,63,62,7.0,,,4.1,2.9,.151,,,,,,,10.9,9.6,,2.5,13.0,25.5,F,Minnesota,rick-rickert-1
671,Jeff Withey,938,POR,2,39,2013,Kansas,2009-10,2012-13,117,76,13.0,119,85,6.6,6.4,.224,4.3,6.8,11.1,26.0,9.9,21.2,15.9,5.8,1.5,14.3,15.3,19.7,C,Kansas,jeff-withey-1
672,Bennedict Mathurin,935,IND,1,6,2022,Arizona,2020-21,2021-22,63,49,9.1,121,99,6.1,3.0,.197,5.9,1.8,7.7,20.7,5.3,13.9,9.9,12.2,1.6,0.6,10.8,23.1,G,Arizona,bennedict-mathurin-1
673,Daniel Gibson,935,CLE,2,42,2006,Texas,2004-05,2005-06,68,68,9.3,,,4.9,4.4,.165,,,,,,,6.1,20.0,,0.6,16.6,21.7,G,Texas,daniel-gibson-1
674,Rafael Araujo,935,TOR,1,8,2004,Brigham Young,2002-03,2003-04,62,62,10.6,,,6.1,4.6,.251,,,,,,,21.7,11.0,,1.8,19.0,29.6,C,Brigham Young,rafael-araujo-1
675,Festus Ezeli,934,GSW,1,30,2012,Vanderbilt,2008-09,2011-12,121,67,8.5,108,95,4.4,4.1,.157,2.4,3.2,5.6,22.9,12.8,17.4,14.6,1.8,1.2,9.2,19.4,23.7,C,Vanderbilt,festus-ezeli-1
676,Kris Murray,934,POR,1,23,2023,Iowa,2020-21,2022-23,77,30,8.1,120,103,5.9,2.2,.193,7.3,1.2,8.6,25.4,8.9,17.2,12.9,11.2,2.0,4.0,8.2,26.0,F,Iowa,kris-murray-1
677,PJ Washington,932,CHA,1,12,2019,Kentucky,2017-18,2018-19,72,63,9.1,115,98,5.3,3.8,.179,4.7,3.6,8.3,21.9,9.0,17.4,13.5,11.8,1.6,4.2,14.8,23.3,F,Kentucky,pj-washington-1
678,Jakob Poeltl,931,TOR,1,9,2016,Utah,2014-15,2015-16,70,70,11.0,124,94,7.0,4.0,.233,5.9,3.4,9.3,28.4,13.6,21.2,17.7,10.8,1.1,6.5,15.3,23.8,F,Utah,jakob-poeltl-1
679,Luc Richard Mbah a Moute,931,MIL,2,37,2008,UCLA,2005-06,2007-08,107,106,14.7,,,4.1,10.6,.186,,,,,,,15.5,9.6,,1.3,18.3,17.7,F,UCLA,luc-richard-mbah-a-moute-1
680,Jaquay Walls,929,IND,2,56,2000,Colorado,1998-99,1999-00,65,60,7.8,,,4.3,3.4,.174,,,,,,,,,,,18.0,,G,Colorado,jaquay-walls-1
681,Marcus Williams,927,SAS,2,33,2007,Arizona,2005-06,2006-07,63,54,6.9,,,3.4,3.6,.143,,,,,,,10.7,13.4,,1.5,13.9,25.0,F,Arizona,marcus-williams-2
682,Reyshawn Terry,926,ORL,2,44,2007,North Carolina,2003-04,2006-07,126,66,10.6,,,5.4,5.2,.233,,,,,,,13.1,10.2,,2.4,19.1,26.7,F,North Carolina,reyshawn-terry-1
683,Pete Mickeal,925,DAL,2,58,2000,Cincinnati,1998-99,1999-00,65,64,12.3,,,6.6,5.7,.233,,,,,,,,,,,15.0,,F,Cincinnati,pete-mickeal-1
684,Markieff Morris,923,PHO,1,13,2011,Kansas,2008-09,2010-11,109,43,10.9,119,89,5.5,5.5,.208,6.7,3.6,10.3,25.7,13.0,22.9,17.7,10.9,1.7,4.8,18.4,21.8,C,Kansas,markieff-morris-1
685,Jordan Bone,921,NOH,2,57,2019,Tennessee,2016-17,2018-19,95,87,8.0,111,105,5.0,3.0,.129,3.4,1.3,4.7,16.0,1.6,8.6,5.2,30.1,1.5,0.3,14.5,20.9,G,Tennessee,jordan-bone-1
686,Sonny Weems,921,CHI,2,39,2008,Arkansas,2006-07,2007-08,69,66,7.4,,,4.2,3.2,.138,,,,,,,8.7,15.7,,0.8,18.1,23.2,F,Arkansas,sonny-weems-1
687,Landry Shamet,914,PHI,1,26,2018,Wichita State,2015-16,2017-18,71,68,10.8,131,100,7.5,3.3,.213,6.5,2.4,8.9,21.0,2.2,9.3,5.9,25.4,1.5,0.8,13.2,19.8,G,Wichita State,landry-shamet-1
688,Jordan Mickey,913,BOS,2,33,2015,Louisiana State,2013-14,2014-15,65,65,7.5,103,95,2.8,4.7,.136,1.5,3.3,4.7,20.8,8.9,18.8,14.0,7.0,1.3,9.4,17.7,22.4,F,Louisiana State,jordan-mickey-1
689,Malcolm Lee,913,CHI,2,43,2011,UCLA,2008-09,2010-11,94,65,6.8,107,105,4.2,2.6,.107,2.1,1.2,3.3,15.1,3.6,9.5,7.0,15.0,1.6,0.8,15.9,21.1,G,UCLA,malcolm-lee-1
690,Xavier Tillman,913,SAC,2,35,2020,Michigan State,2017-18,2019-20,105,45,13.0,123,88,7.0,5.9,.232,5.8,6.1,11.9,25.8,11.8,21.6,17.2,14.3,2.2,7.2,15.6,19.5,F,Michigan State,xavier-tillman-1
691,Glenn Robinson III,912,MIN,2,40,2014,Michigan,2012-13,2013-14,76,76,10.0,123,103,7.0,3.0,.159,4.9,1.9,6.8,19.4,7.0,12.0,9.5,6.7,1.9,0.9,9.2,18.6,F,Michigan,glenn-robinson-2
692,Isaiah Joe,910,PHI,2,49,2020,Arkansas,2018-19,2019-20,60,59,6.8,111,102,4.2,2.6,.139,4.9,1.7,6.6,17.7,2.0,9.6,5.8,10.6,2.5,0.7,9.8,22.4,G,Arkansas,isaiah-joe-1
693,Patrick Beverley,907,LAL,2,42,2009,Arkansas,2006-07,2007-08,70,67,8.2,,,4.3,3.9,.138,,,,,,,9.5,15.6,,0.9,14.7,19.7,G,Arkansas,patrick-beverley-1
694,James Johnson,903,CHI,1,16,2009,Wake Forest,2007-08,2008-09,61,59,10.0,,,4.6,5.4,.219,,,,,,,15.2,9.2,,3.3,16.2,25.7,F,Wake Forest,james-johnson-2
695,Kelly Olynyk,903,DAL,1,13,2013,Gonzaga,2009-10,2012-13,101,31,10.3,121,93,6.7,3.6,.237,7.3,2.6,9.9,27.0,11.1,20.4,16.0,13.1,1.8,3.1,16.6,24.9,F,Gonzaga,kelly-olynyk-1
696,Kevin Durant,903,OKC,1,2,2007,Texas,2006-07,2006-07,35,35,8.8,,,4.7,4.1,.280,,,,,,,16.5,8.6,,3.5,11.4,33.2,F,Texas,kevin-durant-1
697,Nickeil Alexander-Walker,902,NJN,1,17,2019,Virginia Tech,2017-18,2018-19,67,67,7.9,110,98,4.3,3.6,.159,4.1,3.1,7.3,19.7,2.5,13.4,8.3,18.7,2.8,2.4,16.1,24.6,G,Virginia Tech,nickeil-alexander-walker-1
698,Alexander Johnson,900,IND,2,45,2006,Florida State,2003-04,2005-06,92,73,9.0,,,4.7,4.3,.186,,,,,,,16.7,6.3,,2.7,23.3,26.8,C,Florida State,alexander-johnson-1
