--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
37,Damian Lillard,1934,2.3,0.6,8.5,0.7,29.3,1.7,14.2,.606,.481,.540,POR,1,6,2012,Weber State,2008-09,2011-12,104,98,17.6,124,103,14.2,3.4,.209,8.5,0.7,9.2,29.3,1.7,14.2,8.1,24.3,2.3,0.6,13.4,28.6,G,Weber State,damian-lillard-1
38,Josh Hart,1921,2.4,1.2,6.4,3.4,23.7,7.8,15.6,.614,.401,.589,UTA,1,30,2017,Villanova,2013-14,2016-17,146,77,22.9,125,95,14.4,8.5,.224,6.4,3.4,9.8,23.7,7.8,15.6,12.0,13.3,2.4,1.2,11.0,22.7,G,Villanova,josh-hart-1
39,Carsen Edwards,1920,2.3,0.8,5.4,1.7,21.2,1.6,11.3,.547,.496,.504,PHI,2,33,2019,Purdue,2016-17,2018-19,108,94,13.6,110,100,8.4,5.1,.171,5.4,1.7,7.1,21.2,1.6,11.3,6.7,17.7,2.3,0.8,12.1,32.2,G,Purdue,carsen-edwards-1
40,JaJuan Johnson,1919,1.6,6.7,7.0,3.5,26.8,8.4,19.1,.556,.043,.506,NJN,1,27,2011,Purdue,2007-08,2010-11,140,119,21.8,115,90,10.3,11.5,.226,7.0,3.5,10.5,26.8,8.4,19.1,13.2,6.0,1.6,6.7,9.8,26.9,F,Purdue,jajuan-johnson-1
41,Jarrell Brantley,1914,2.3,2.6,1.8,1.4,22.8,7.0,22.6,.570,.223,.527,IND,2,50,2019,College of Charleston,2015-16,2018-19,123,119,16.3,108,96,8.3,7.9,.167,1.8,1.4,3.2,22.8,7.0,22.6,14.9,12.0,2.3,2.6,15.7,27.5,F,College of Charleston,jarrell-brantley-1
42,Nolan Smith,1911,2.1,0.4,7.5,2.3,22.9,3.5,7.9,.551,.303,.503,POR,1,21,2011,Duke,2007-08,2010-11,143,97,18.3,117,97,11.6,6.7,.190,7.5,2.3,9.9,22.9,3.5,7.9,5.7,21.1,2.1,0.4,14.4,25.6,G,Duke,nolan-smith-1
43,Russ Smith,1908,4.7,0.3,4.7,4.7,23.5,3.4,9.4,.528,.347,.473,PHI,2,47,2014,Louisville,2010-11,2013-14,133,80,17.1,108,89,8.8,8.3,.212,4.7,4.7,9.4,23.5,3.4,9.4,6.4,25.0,4.7,0.3,14.9,32.6,G,Louisville,russ-smith-1
44,Keith Benson,1903,1.1,8.8,3.6,1.9,29.4,10.3,25.1,.597,.024,.562,ATL,2,48,2011,Oakland,2007-08,2010-11,135,126,19.7,122,97,12.8,6.9,.218,3.6,1.9,5.4,29.4,10.3,25.1,17.3,5.2,1.1,8.8,10.3,23.7,C,Oakland,keith-benson-1
45,Jeffery Taylor,1897,2.2,1.5,5.0,1.6,21.7,7.8,12.9,.562,.233,.524,CHA,2,31,2012,Vanderbilt,2008-09,2011-12,134,133,16.4,111,99,10.4,6.0,.167,5.0,1.6,6.6,21.7,7.8,12.9,11.2,14.3,2.2,1.5,15.5,26.0,F,Vanderbilt,jeffery-taylor-1
46,Frank Mason,1885,2.2,0.2,5.3,3.2,19.6,2.2,10.3,.574,.328,.524,SAC,2,34,2017,Kansas,2013-14,2016-17,145,113,19.2,120,102,12.8,6.4,.176,5.3,3.2,8.5,19.6,2.2,10.3,6.5,24.4,2.2,0.2,14.1,21.8,G,Kansas,frank-mason-1
47,C.J. Wilcox,1880,1.7,2.6,6.3,1.6,21.1,3.3,10.8,.571,.523,.535,LAC,1,28,2014,Washington,2010-11,2013-14,131,83,15.5,120,105,11.7,3.7,.166,6.3,1.6,7.9,21.1,3.3,10.8,6.9,11.9,1.7,2.6,9.8,24.1,G,Washington,cj-wilcox-1
48,Cam Spencer,1869,2.9,0.6,5.1,2.6,21.9,2.8,12.7,.604,.480,.568,DET,2,53,2024,Connecticut,2019-20,2023-24,132,116,21.7,126,98,14.1,7.6,.203,5.1,2.6,7.7,21.9,2.8,12.7,7.8,19.9,2.9,0.6,9.1,20.6,G,ConnecticutLoyola (MD)Rutgers,cam-spencer-1
